hnit	ಕರ್ತೃ
dlen	ದಸ್ತಾವೇಜನ್ನು
byas	ಲಸಿಕೆ
fron	ಹೆರಾಯಿನ್
dluk	ಕಡಿದು
dyun	ನಿವಾರಿಸಲು
flap	ಫೋಲ್ಡರ್
kfet	ಕ್ಯಾಥೋಡ್
dlim	ಸಿದ್ಧಾಂತ
prek	ಪಾರ್ಕಿಂಗ್
syoc	ಸ್ನ್ಯಾಪ್ಶಾಟ್
slus	ಲಭ್ಯತೆ
nlos	ಪ್ರತಿಕಾಷ್ಠೆ
mlen	ಸೆಲೆನಿಯಮ್
pres	ಕಾರ್ಟೆಕ್ಸ್
hlof	ಸಲ್ಫರ್
nlek	ಪ್ರಸ್ತುತಪ್ರಸ್ತುತತೆಮಾರ್ಕರ್
gwot	ವಿಮಾನನಿಲ್ದಾಣ
mwip	imposter
klop	ಜಿರಲೆ
kwom	ಕ್ರೋಮಿಯಂ
hl6t	ಲೀಟರ್
nwec	ಆದಾಗ್ಯೂ
glip	ಸೈಕ್ಲಿಕ್
nrop	ವೇತನದಾರರ
crum	ಹಾರ್ಮೋನ್
dlep	ಡೆವಲಪರ್
frot	ರಂಧ್ರಮಾಡು
bwoc	ವಿಧ್ವಂಸಕಕೃತ್ಯ
fwis	ಸ್ತ್ರೀವಾದಿ
djok	ಸಂಯುಕ್ತವಾಗಿದೆ
draf	ಆಧುನೀಕರಿಸುವ
trum	ಉಗ್ರಗಾಮಿ
graf	ಅಲ್ಗಾರಿದಮ್
lwes	ಲೇಸರ್
mlem	ಮಿಲಿಮೀಟರ್
flen	ಫ್ಲೆಕ್ಸ್
zlot	ಆನೋಡ್
swok	ಅಪ್ಪಿಕೋ
klec	ನಾಯಿದಣಿದ
pwim	ಅರೆಕಾಲಿಕ
htuf	ಟ್ಯೂನ
fyis	ಶುದ್ಧೀಕರಣ
lwet	ಸಂವೇದನೆ
mrem	ಮೇನ್ಫ್ರೇಂ
jwic	ನವಯೌವನಪಡೆಯುವುದು
droc	ಪ್ರದರ್ಶಕ
clem	ಹೀಲಿಯಂ
dzik	ದ್ವಿಭಾಷಾ
psem	ಪ್ಲಾಸ್ಮಾ
hjom	ವರ್ಣತಂತು
rwuc	ಕ್ರಮಾಂಕ
tyus	ಪೂರ್ಣಾಂಕ
klom	ಕಿಲೋಮೀಟರ್
hfos	ಫ್ಯಾಕ್ಸ್
nwek	ತಳಿಶಾಸ್ತ್ರ
jrap	ಸ್ಕ್ರೂಡ್ರೈವರ್
zwas	ಜೀರ್ಣಕಾರಕವಾಗಿ
bwok	ಕೋಸುಗಡ್ಡೆ
dwap	ಅಡಾಪ್ಟರ್
syem	ಸ್ಪ್ಯಾಮ್
blek	ವೆಕ್ಟರ್
tlus	ತಂತ್ರವನ್ನು
pyif	ಅನಿರ್ದಿಷ್ಟ
cwoc	ಆಲ್ರೈಟ್
mrep	ಆಂಪಿಯರ್
hbem	ವಿಟಮಿನ್
hxan	ದ್ವಾರಪಾಲಕ
hxut	ಅನುದಾನ
hk6m	ಕ್ಯಾಡ್ಮಿಯಂ
hxin	ಏಕಕಾಲದಲ್ಲಿ
txin	ಟೈಟಾನಿಯಂ
kxin	ಕಿಲೋ
klum	ಸಂಭೋಗಿಸುವ
xlis	ಮರಳುಗಡಿಯಾರವು
hqak	ವಾಕ್ಯರಚನೆಯ
hxat	ಸೃಜನಶೀಲತೆ
hxik	ಇಪುಸ್ತಕ
hxas	ಕೆಲಸದ
bxon	ಬೊರಾನ್
dxin	ಇಂಡಕ್ಟೆನ್ಸ್
hxit	ಹೆಲಿಕಾಪ್ಟರ್
tlum	ಟೆಲ್ಲೆರಿಯಮ್
txit	ಗಡುವು
kxat	ಆಕ್ಸಿಡೈಸ್
hvik	align
nluk	ಅನಲಾಗ್
nyem	ಸೆಂಟಿಮೀಟರ್
hm6t	ಮಾಲಿಬ್ಡಿನಮ್
hl6m	ಲಿಥಿಯಂ
ht6t	ಮಲ್ಟಿಮೀಡಿಯಾ
xlit	ಕ್ಯಾಲೋರಿ
ryop	ರೋಬೋಟ್
pxas	ಔಷಧಿಕಾರ
hxak	ಮನೆಕೆಲಸ
lwif	ಸತ್ಪಮೀವಿಬಕ್ತಿಯ
grim	ಕ್ರಮಾವಳಿ
hqat	ಮಿಡತೆಜಾತಿಯಒಂದುಕೀಟ
qlit	ಪರಿಸರ
xlik	sophisticate
mlep	ಟೆಂಪ್ಲೇಟ್
hqit	ವಿಕಿರಣಶೀಲತೆ
kxim	ಕಿಲೋಗ್ರಾಂ
hxen	ಬಾಡಿಗೆದಾರನು
hxot	ಅತಿಯಾದತೂಕಕ್ಕೆ
kyif	ಕಾಪಿಯರ್
fwet	ಫ್ರೀವೇರ್
txet	ಉಪವಿಭಾಗ
hs6n	ಅನುಕ್ರಮ
hxet	ಕದ್ದಾಲಿಕೆ
xrat	ಕ್ಷೌರ
hqan	ವಶದಲ್ಲಿ
hr6t	ಇರಿಡಿಯಮ್
bxat	ಬ್ಯಾಂಡ್ವಿಡ್ತ್
dxet	ಡೆಸ್ಕ್ಟಾಪ್
hxis	ಘಾತೀಯ
hxok	ಕಾರ್ಯಾಲಯ
hxek	ಜಾಗದಲ್ಲಿಡು
srem	ಸೀರಿಯಮ್
hp6t	ವಿಭಾಗದರ್ಶಕ
pxik	ವಿಭಾಗದರ್ಶಕಸಂದರ್ಭದಲ್ಲಿ
kxet	ಕ್ಯಾಸೆಟ್
pruk	ಸೂಪರ್ಮಾರ್ಕೆಟ್
hvit	willpower
xlin	ಆಫ್ಲೈನ್
frip	ಗೂಢಲಿಪೀಕರಣ
hvep	ಲೆಕ್ಕಮೀರಿಬಟವಾಡೆ
hxon	ಸಿಂಕ್ರೊನೈಸ್
kxit	ಗರಿಷ್ಠಗೊಳಿಸಲು
hqin	ಸೆಮಿನಾರ್
tr6n	ಸ್ಟೀರಿಯೋ
ht6n	ಹಲಗೆ
hvat	ಮುಂಬರುವ
sl6s	ಸೆಲ್ಸಿಯಸ್
hn6n	ನಿಯಾನ್
ts6t	ನೈಜಸಮಯದಲ್ಲಿ
hvin	ಸ್ಟ್ರೀಮ್ಲೈನ್
pxat	ನ್ಯೂಸ್ಸ್ಟ್ಯಾಂಡ್
myoc	ಘಟಕ
ps6s	ಪಾಸ್ಟಾ
bwek	ವಕಾಲತ್ತುಪೆಟ್ಟಿಗೆ
dlok	ಡೀಲಕ್ಸ್
fraf	ಫೈರ್ವಾಲ್
hr6k	ಕಲಾಕೃತಿ
txat	ಊಟದಸಮಯ
hqon	ಓರೆಗಾನೊ
pxun	ಪ್ಲುಟೋನಿಯಂ
ks6n	ಕಾರ್ಯಸ್ಥಳ
slef	ಎಸ್ಕಲೇಟರ್
xrit	ಜೀವರಕ್ಷಕ
hvut	ಅತಿಯಾಗಿಗುಂಪು
xrim	ಎಟ್ಟ್ರಿಯಮ್
hx6t	ಆಧಿಕ್ಯಾರ್ಥಕವಾಗಿದ್ದು
hqum	ಬಳಕೆದಾರಹೆಸರು
hl6n	ಮಾರಾಟಗಾರರ
gron	ಆರ್ಗಾನ್
pxan	ಪ್ರಚಾರ
hvac	ತೊಳೆಯುವಯಂತ್ರ
xlan	ಜಾಗತೀಕರಣ
txon	ತರಂಗಾಂತರ
xrik	ಮರುಬಳಕೆ
hxap	ಬೆನ್ನುಹೊರೆಯ
hxac	ಪುನರಾರಂಭದ
xyat	ಹೆಪಟೈಟಿಸ್
cwep	ಪೇಚೆಕ್
hxos	ಟೋರಸ್
txif	ಅಕ್ಷರಶೈಲಿಯ
qlat	ಸ್ಥಿರಾಸ್ತಿಏಜೆಂಟು
txot	ಮಧ್ಯಶರತ್ಕಾಲದಲ್ಲಿ
hxam	ಮಿಲಿಗ್ರಾಂ
pxis	ಪಿಕ್ಸೆಲ್
pwif	ಮುನ್ನೋಟ
txam	ಟ್ಯಾಂಟಲಮ್
myek	ಉಷ್ಣಬಲ
hbop	ಒಳಗೆಹೊಕ್ಕಿ
hqot	ದ್ರಾವ್ಯ
xlic	ಗಾಲಿಕುರ್ಚಿ
gxit	ನರಮೇಧ
hvan	ಅಗ್ನಿಶಾಮಕ
glim	ಗ್ಯಾಲಿಯಂ
pfop	ಪಾಪ್
hzum	ಜಿರ್ಕೊನಿಯಮ್
xlon	ಹಾಟ್ಲೈನ್
qlin	ರೇಖಾತ್ಮಕವಲ್ಲದ
kxam	ಸ್ಕ್ಯಾಂಡಿಯಮ್
blim	ಬೆರಿಲಿಯಮ್
kxik	ಸಂರಚಿಸಲು
nr6n	ನರಕೋಶದ
hpef	ಭವಿಷ್ಯಸೂಚಕಗಳೆರಡೂ
hruf	ರೂಟರ್
kxan	ಅಪವರ್ತನೀಯ
hxic	ಮಾರ್ಗದರ್ಶಿ
xlip	ವಾಲಿಬಾಲ್
dyek	ಡಿಬಗ್
hxop	ಕೈಗಡಿಯಾರ
qrot	ನ್ಯೂಟ್ರಾನ್
nwip	ನಯೋಬಿಯಮ್
hs6t	ರೆಸ್ಟ್ರೂಂ
grem	ಜರ್ಮೇನಿಯಮ್
tles	ಲೋಹಾಭ
hp6k	prolativeಸಂದರ್ಭದಲ್ಲಿ
qyin	ಜೀವವೈವಿಧ್ಯ
txak	ಪ್ರತಿಜೀವಕ
mlun	ಸ್ಥಂಭನ
txan	actinium
xran	ಗಗನಯಾತ್ರಿ
dres	ಇಳಿಸು
tr6t	ಭೂಮ್ಯತೀತ
hk6t	ಅಷ್ಟಕ
hxus	ಮುಕ್ತಸಂಪನ್ಮೂಲ
xlat	crackpot
mraf	ಮ್ಯಾರಥಾನ್
ts6n	ಮಧ್ಯವಸಂತ
ht6s	ಸ್ವಲೀನತೆ
nlif	ಅಯಾನೀಕರಿಸು
txut	ಪ್ರಾಧಾನ್ಯ
hm6n	ಹೊರಸೂಸುವ
kxis	ಕ್ಲಿಪ್ಆರ್ಟ್
xrin	ಒಳಪಡುವ
xren	ಮರುನಿರ್ದೇಶಿಸುತ್ತದೆ
bxak	ಬುಕ್ಮಾರ್ಕ್
pfos	ಪರನುಡಿಗಟ್ಟು
hvis	ಮಲ
hd6n	ಛೇದ
brum	ಸಭಾಕೊಠಡಿ
hqis	ಕಟ್ಟಾ
hk6n	ಕಂಪೈಲ್
xyit	ಶಿಫ್ಟ್ಕೀಲಿಯನ್ನು
xyin	ಒಂದುಕ್ಷಣ
hxun	ಜೀವನೋಪಾಯಸಾಗಿಸಿದ್ದರು
hvas	ಪಾತ್ರಗಳನ್ನು
glok	ಬ್ಲಾಗ್
hvak	ಅಡ್ಡಾದಿಡ್ಡಿಯಾಗಿ
pxit	IPವಿಳಾಸ
hvet	ಮುಂದಿನ
xram	ಕುಸುಬೆ
hc6n	ಸ್ಪಷ್ಟತೆ
qran	ಖುರಾನು
zyen	ಕ್ಸೆನಾನ್
hqas	ಪ್ರತಿಜ್ಞೆ
bzas	Blase
hj6n	ಅಲ್ಲದಮಾನವ
hnof	nonremittal
txas	ತಯಾರಕರು
hbum	ಬೌದ್ಧ
ts6s	ಜಗಳವಾಡುತ್ತಿವೆಯೇ
pxin	ಪದಾರ್ಥಗಳು
hr6n	ಪಡಿತರ
hxim	ಬೇಸಿಗೆಯಮಧ್ಯಾವಧಿಯಲ್ಲಿ
dxit	ಮಧ್ಯಚಳಿಗಾಲದಲ್ಲಿ
hxaf	ಹೂಳೆತ್ತಲು
nlus	ಗಿಡವಾಗಿ
txap	ಸ್ಥಿತಿಬಾರ್
vrit	ಘೋಸ್ಟ್ರೈಟರ್ನ
kxak	ಸುಮಾರುಮೂರ್ಖ
bxin	ಮಾನವದೇಹದ
hqik	ಮಳೆಯಂಗಿ
hxes	ಹರ್ಟ್ಜ್
hxif	hypnothize
xras	ಗಂಟೆಯ
pl6k	ಕಾನೂನಿನಪೂರಕ
dxat	ದುಡುಕು
hxip	ಪ್ರತಿಕಾಯ
vrat	ಕಿರು
hqek	ಮರುರೂಪಿಸುವಿಕೆಯ
qrit	ಧ್ರುವೀಯತೆಯ
pxot	ಅಂಚೆಕಛೇರಿ
hxom	ಅನಗತ್ಯಪತ್ರ
hqic	ವಿಮರ್ಶಕ
lwun	ನೀಲಿಜೀನ್
hp6n	ಪಕ್ವತೆಯ
dxan	ಲಗತ್ತಿಸುತ್ತಿದ್ದೇನೆ
xrak	ನಟಪಾತ್ರ
dxak	ಅಪಘಾತ
hven	ಕಂಟೈನರ್
mwap	ಕಾಮಿಕ್ಸ್ಟ್ರಿಪ್
qlan	ಬಣ್ಣಕುರುಡು
xros	undressing
srom	ಕೋಣೆ
hc6t	ಚಾಟ್
qrat	ತಲೆಕೆಳಗಾಗಿ
hn6t	ಪ್ರತಿಬಂಧ
hqet	ವೆಬ್ಸೈಟ್
fres	ವರ್ಗಕ್ಕಾಗಿ
froc	ಮುನ್ನುಗ್ಗುತ್ತಿವೆ
xlak	ಹೈಪರ್ಲಿಂಕ್
vlat	ವಾಚಾಳಿತನ
dvan	ಕೆಳಗಿಳಿಸುವ
gxin	ವಿಜಯದ
ryes	ಸ್ವಾಗತಕಾರ
kxot	ಕನೆಕ್ಟರ್ಸ್
xyan	ಸೀಮಾನಿರ್ಣಯ
vlan	ಜಾಹೀರಾತುದಾರ
ryom	ಥೋರಿಯಂಪರಮಾಣು
hluf	ಇಳಿವಯಸ್ಸು
hquk	ಚುಚ್ಚು
lyum	ಥುಲಿಯಮ್ಪರಮಾಣುವಿನ
tyem	ಟರ್ಬಿಯಮ್ಪರಮಾಣುವಿನ
hp6m	ಪ್ರೇಸಿಯೊಡೈಮಿಯಮ್
txic	ಮುಖಪುಟ
mros	ಮೋಟಾರುಚಾಲಕರ
dyam	ರೋಢಿಯಮ್ಪರಮಾಣುವಿನ
pc6n	ಪ್ರಯೋಗಸಂಖ್ಯೆ
nyos	ಇನ್ಬಾಕ್ಸ್
pyek	ಪ್ರಕ್ಷೇಪಕ
kxon	ಕ್ರಿಪ್ಟಾನ್
hxuc	ಉಳಿಸಿಕೊಳ್ಳುವಲ್ಲಿ
qrik	ಕೇಂದ್ರಿತಸಂದರ್ಭದಲ್ಲಿ
xwin	ಅನನುಭವ
kxic	ನಂದಿಸುವ
hvot	ಫ್ಲೋಚಾರ್ಟ್
dxot	ಮೊಸರು
hqut	ಲಾಗ್ಔಟ್
pxen	ಇಲಾಖೆಯ
drok	ಗುರಿಪ್ರಚೋದಕ
flon	ಮೊಬೈಲ್ಫೋನ್
txos	ಮಧ್ಯರೂಪವಾಗಿದೆ
hqok	ಓರೆಯಾದಸಂದರ್ಭದಲ್ಲಿ
xwik	ರೋಗಿಯಸಂದರ್ಭದಲ್ಲಿ
hx6n	prehodiernal
txik	ತೋರುಬೆರಳು
hqen	ಕಳುಹಿಸುವವರು
mlap	ಮಾಲ್ವೇರ್
hvun	ಅನುನಯ
hvon	ಔಟ್ಧರಿಸುತ್ತಾರೆ
vran	ಅಂಚೆವಾಹಕ
pfes	ಪ್ರಾಧ್ಯಾಪಕ
pwip	ಕವಿ
hqam	ಕೆಲಸ
gxat	ನ್ಯಾಯಪರತೆಯನ್ನು
ks6t	ಕಾರಕ
vrin	ಹೊಸದಾಗಿ
kxip	ಕ್ಲಿಪ್ಬೋರ್ಡ್
sr6n	disapproving
vlit	ಮೌಲ್ಯಮಾಪಕ
tyup	ಉಪನಗರ
mrom	ಮಾರ್ಫೀಮ್
xron	ಹೆಡ್ಫೋನ್
gxak	ದುಬಾರಿ
hrof	ಟ್ರೋಜನ್ಹಾರ್ಸ್
xlas	ಪಾರ್ಶ್ವವಾಯುವಿಗೆ
dzet	ಪುನರಲಂಕರಿಸು
txac	ಶರಣಾಗುವ
xrot	ಬಳಕೆಯಾಗದ
txis	ಡಾಟ್ಮ್ಯಾಟ್ರಿಕ್ಸ್
syif	ಸಿಘಟಕಗಳು
xrac	ಆಶ್ಚರ್ಯಕರ
brif	ಬೈನರಿಮೌಲ್ಯವನ್ನು
dlos	ಮೋಡಲ್ಸಂದರ್ಭದಲ್ಲಿ
txun	ಲಕ್ಷಣಗಳು
dvat	ಕೆಟ್ಟಮನೋಭಾವದ
psom	ಮೊದಲಕೈ
gjek	ಬೇರೆ
nlem	ದ್ರವ್ಯರಾಶಿಯಘಟಕ
qret	ಚಿಲ್ಲರೆಅಂಗಡಿ
txip	ಟ್ರಿಪಲ್ಪಾಯಿಂಟ್
dlek	ಪ್ರತ್ಯೇಕವಾಗಿ
lwut	ಹರಿವುಪ್ರಸ್ತುತ
dxis	ನಾಟಕೀಯವಾಗಿ
hs6m	ಸೀಸಿಯಮ್
vlak	ಒಂದೇಡಬ್ಬಿಯುಳ್ಳರೈಲು
hn6m	netium
kxap	ಹಲಗೆಯ
bxan	ನಿರ್ಗಮಿಸುವ
myem	ಮೇತಿಂಗಳಲ್ಲಿ
gxik	ನಾಗರೀಕಹಕ್ಕುಗಳು
hxoc	ವಾಯುಪಡೆ
xrok	ಸಹೋದ್ಯೋಗಿಗಳಿಗೆ
kr6t	ಸ್ಕ್ರೀನ್ಶಾಟ್
txok	ಸ್ವಯಂಚಾಲಿತವಾಗಿ
hxep	ಸ್ಕೇಟ್ಬೋರ್ಡ್
srop	ಸ್ಮಾರ್ಟ್ಫೋನ್
pxak	ಕ್ಯಾಪ್ಸ್ಲಾಕ್
hk6k	ಜಾನಪದಸಂಗೀತ
hl6k	eulersಸಂಖ್ಯೆ
pyom	ಪೊಲೊನಿಯಮ್ಪರಮಾಣುವಿನ
xyam	ಥಾಲಿಯಮ್ಪರಮಾಣುವಿನ
hvic	ಆಕ್ರಮಣ
lyok	ಸತ್ಪಮೀವಿಬಕ್ತಿಯಸಂದರ್ಭದಲ್ಲಿ
xlot	ಫ್ಲಾಟ್ಗಳು
txen	ಪುನರೋಕ್ತಿಯಾಗಿತ್ತು
kxac	ಪ್ರತಿದಾಳಿ
qrak	ಮುಷ್ಕರಭಂಜಕ
hbup	ಈಜುಕೊಳ
txuk	ಶಾರ್ಟ್ಸರ್ಕ್ಯೂಟ್
tsef	ಮೊನಚಾದ
bxit	ವೆಬ್ಹೋಸ್ಟ್
ksem	ಓದಲುಮಾತ್ರ
byim	ರುಬಿಡಿಯಮ್ಪರಮಾಣು
hvam	ಕೊಂಚಪರಮಾಣುವಿನ
lw6n	ಲ್ಯಾಂಥನಂ
frum	ಫ್ಲೋರೀನ್ಪರಮಾಣುವಿನ
nyom	ನಿಯೋಡಿಯಮ್
mlom	multalಸಂಖ್ಯೆ
kxas	ವೈಯಕ್ತೀಕರಿಸಲು
xret	ಟೆರಾಬೈಟ್
hs6k	ಹುಡುಕುವಸಾಧನ
frus	corroding
gxan	ಗ್ಯಾಲಕ್ಸಿಲಿಂಗ
vlas	ಧ್ವನಿಯನ್ನುಹೊರಡಿಸುತ್ತದೆ
glet	ಅನಿಲಪೆಡಲ್
hvim	ರನ್ಟೈಮ್
bxip	ಬಿಟ್ಮ್ಯಾಪ್
qrin	ಸ್ಟಾರ್ಲಿಂಗ
bvak	abessiveಸಂದರ್ಭದಲ್ಲಿ
pxon	ಲಭ್ಯವಿಲ್ಲ
dvik	adessiveಸಂದರ್ಭದಲ್ಲಿ
dvek	agentiveಸಂದರ್ಭದಲ್ಲಿ
hlef	ಏಜೆಂಟ್ಪ್ರಚೋದಕ
kwek	ಪ್ರಕರಣಕ್ಕೆ
kxen	ಸಾಮಾನ್ಯಲಿಂಗ
ht6m	ಉಲ್ಲೇಖದರೂಪ
tsuf	ಟ್ರಾನ್ಸ್ಸಂಖ್ಯಾವಾಚಕ
hf6n	ಸಂಸ್ಕರಣ
tc6t	ನೇರವಸ್ತು
gvik	ergativeಸಂದರ್ಭದಲ್ಲಿ
gxon	ವಿಘಟನೆ
ksep	ಗ್ರಾಹಕ
vyin	ಚಿತ್ರಮಂದಿರ
pyos	ಕರ್ಮಣಿ
hnef	ಸೀಮಿತಕ್ರಿಯಾಪದ
xwit	ಪ್ರಾಥಮಿಕವಸ್ತು
hqim	ಸೂತ್ರದಚಿತ್ತ
jlak	ಸಾಮಾನ್ಯೀಕರಣ
vrik	ಅಂತಿಮಕಣದ
qyan	ಕಾಲ್ಪನಿಕಘಟಕ
kxaf	ಬೆಳಕಿನವೇಗ
xyic	ಫಿಶಿಂಗ್
qyit	ನಿರ್ಣಾಯಕಹಂತದಲ್ಲಿ
hvek	evitativeಸಂದರ್ಭದಲ್ಲಿ
bvik	subessiveಸಂದರ್ಭದಲ್ಲಿ
hzes	ಭೂತಸಂದರ್ಭದಲ್ಲಿ
prus	ಕಂಪ್ಯೂಟರ್ವೈರಸ್
ples	ಪ್ರೊಸೆಸರ್
pxif	ಪೋಲಿಸ್ಅಧಿಕಾರಿ
dvak	lativeಸಂದರ್ಭದಲ್ಲಿ
brun	ಪ್ರವಾಸಿ
tsi_k	antessiveಸಂದರ್ಭದಲ್ಲಿ
tyum	ರುಥೇನಿಯಮ್ಪರಮಾಣುವಿನ
vyak	ಕ್ರಿಯಾಪದಸಂದರ್ಭದಲ್ಲಿ
pxim	ಪ್ರಧಾನಮಂತ್ರಿ
syum	ಸ್ಟ್ರಾಂಷಿಯಂಪರಮಾಣುವಿನ
sy6n	ಸಂದೇಹ
hy6n	ಲಿಂಗಅನಿಮೇಟ್
pxac	ಪರಾನುಭೂತಿಶಕ್ತಿಯುಳ್ಳಸಂತೋಷ
vlin	ವಾಹನಲಿಂಗ
qwin	ಖನಿಜಲಿಂಗ
hr6s	ಉಲ್ಲೇಖಿತ
tf6n	ಟೋನರು
xris	ಬಳಕೆದಾರಇಂಟರ್ಫೇಸ್
hw6n	ಶಪಥ
xlen	ಕ್ರಿಯಾಪದದನಾಮ
pyec	ಸ್ಪ್ರೆಡ್ಶೀಟ್
vlim	ವಾಸ್ತವಮೆಮೊರಿಯನ್ನು
bres	ಪದಸಂಸ್ಕಾರಕ
hqip	ಕ್ಲೌಡ್ಕಂಪ್ಯೂಟಿಂಗ್
vlic	ವರ್ಚುವಲ್ಗಣಕ
pfam	ಸ್ಪ್ಯಾಮರ್
dyap	ಎರಡನೇಭಾಷೆ
txek	ಎನ್ತ್ಮೂಲ
dxen	ದತ್ತಾಂಶಗಣಿಗಾರಿಕೆ
byip	ವ್ಯಾಪಾರವ್ಯಕ್ತಿ
hs6c	ಆತ್ಮವಿಶ್ವಾಸವನ್ನು
txim	ಉಲ್ಲೇಖಿಸಿ
hb6t	ಘಟನೆಯಬದಲಾವಣೆ
hdem	ಕಾರ್ಯಕ್ಷೇತ್ರದಹೆಸರು
dxon	ವಿವಿಧಕ್ರಿಯೆಯನ್ನು
lwaf	ಫ್ಲಾಶ್ಡ್ರೈವ್
sl6t	crastinalಉದ್ವಿಗ್ನ
xyik	ಫ್ಲಾಪಿಡಿಸ್ಕ್
fyif	ಅನುವರ್ತಕಧ್ವನಿ
bvin	ಬ್ರಹ್ಮಾಂಡದಲಿಂಗ
hm6p	ಮದರ್
tfip	ಸಕರ್ಮಕಕ್ರಿಯಾಪದ
jlen	ಪ್ರದೇಶದಲ್ಲಿಲಿಂಗ
xrap	ಪಟ್ಟೆ
tc6n	ಸಂಶೋಧನೆಲಿಂಗ
sl6n	ಕಲಾತ್ಮಕಲಿಂಗ
xrek	ರೋಗಿಯಪ್ರಚೋದಕ
xwan	ಅಮೂರ್ತಲಿಂಗ
dxif	ವಿಡಿಯೋಕಾನ್ಫರೆನ್ಸ್
dyip	ಪರೋಕ್ಷಭಾಷಣ
zrek	exocentricಸಂದರ್ಭದಲ್ಲಿ
hvuk	ಹರಿಸಿದವು
xwat	ಕಳೆದಪರಿಪೂರ್ಣ
hr6m	ರೀನಿಯಮ್
txaf	ಪ್ರಚೋದನೆ
hmef	ನಿರಾಕಾರಕ್ರಿಯಾಪದ
tx6t	ಪಠ್ಯಸಂಪಾದಕ
txes	ಸಾಮೂಹಿಕನಾಮಪದ
bvat	ಕೆಟ್ಟದಾಗಿನಡೆದುಕೊಳ್ಳುತ್ತಾನೆ
bvuk	absolutiveಸಂದರ್ಭದಲ್ಲಿ
ry6t	ರೇಡಿಯನ್
vlis	ವಾಸ್ತವತೆಗೆ
qren	ಗ್ರಹಗಳಲಿಂಗ
gvak	ವ್ಯಾಕರಣಸಂದರ್ಭದಲ್ಲಿ
bxok	ಬೋಳು
mrum	ಕಂಪ್ಯೂಟರ್ಪ್ರೋಗ್ರಾಂ
ps6t	ಆಪರೇಟಿಂಗ್ಸಿಸ್ಟಮ್
hfom	ಧ್ವನಿಮಾ
tlem	ಮಾತ್ರಸ್ಮರಣೆಓದಲು
pwam	ಸ್ಪೈವೇರ್
kfif	ಕೋರ್benefactive
qwit	ವಿವೇಚನಾಶೀಲತೆಯ
nlaf	ಅನುಸ್ಥಾಪಿಸುವಾಗ
nwok	ಸಹಾಯಕಸಂದರ್ಭದಲ್ಲಿ
dzas	ಅತೃಪ್ತಿಗೊಳಿಸು
swuk	ಅತಿಶಯೋಕ್ತಿಸಂದರ್ಭದಲ್ಲಿ
syos	ಸಂಕ್ಷಿಪ್ತವಾಗಿ
kr6n	ವಿದ್ಯುತ್
dvin	ನಿರ್ಜೀವಲಿಂಗ
pxom	propositiveಚಿತ್ತ
vris	ಪರಸ್ಪರಧ್ವನಿ
rwos	ವಾಯುದ್ರವ
dr6t	distractor
ht6k	ದೂರಸಂಪರ್ಕ
slaf	ಸಾಮಾಜಿಕಜಾಲತಾಣ
lyuk	ಸತತಷರತ್ತು
qras	ಮೇಲಧಿಕಾರಿಗಳಿಗೆ
ty6n	teminal
gwet	ಶೀಘ್ರದಲ್ಲೇಭವಿಷ್ಯದಉದ್ವಿಗ್ನ
hp6s	applicativeಧ್ವನಿ
tsof	antipassiveಧ್ವನಿ
ht6p	continutiveಅಂಶವು
hn6f	necessitativeಚಿತ್ತ
pfip	ನಿಷ್ಕ್ರಿಯಕೃದಂತ
glap	ಟೂಲ್ಬಾರ್
sy6k	ಅಸ್ತಿತ್ವವಾದದಷರತ್ತು
qyat	ಪ್ರಕಾಶಸಾಮರ್ಥ್ಯ
hy6t	ವ್ಯಾಕರಣವಸ್ತು
vyan	ಪ್ರೊನೌನ್ಸಿಂಗ್
sluf	singulativeಸಂಖ್ಯೆ
dvit	ವಿಪರೀತಅವಧಿಯನ್ನು
qyak	ಏಕೈಕಕ್ರಿಯೆಯಕ್ರಿಯಾಪದ
bzik	ಭೌತಶಾಸ್ತ್ರ
xlet	ಅತಿಶಯೋಕ್ತಿಪದವಿ
hqap	ಪ್ರಸ್ತುತಕೃದಂತ
qwat	ಪದಾರ್ಥದಪ್ರಮಾಣ
qyik	ಸಂಯೋಜಕಕಣ
sr6t	ಸೂಪರ್ಕ್ರಿಟಿಕಲ್ದ್ರವ
hfem	epentheticಮಾರ್ಫೀಮ್
tl6t	ದೂರಸ್ಥಭವಿಷ್ಯದಉದ್ವಿಗ್ನ
mrif	ಮೈಕ್ರೊಫೋನ್
pcuk	postpositionalಸಂದರ್ಭದಲ್ಲಿ
tfim	ಇಂಟರ್ನೆಟ್ಪ್ರವೇಶನೀಡುಗ
fwim	ethium
ly6t	allocutiveಒಪ್ಪಂದದ
hvap	ಸ್ಕ್ರಾಲ್ಪಟ್ಟಿ
hfep	frequentativeಅಂಶವು
bvan	ವಿಭಾಜಕಸರ್ವನಾಮ
fyun	ತೇಲುವಬಿಂದುಸಂಖ್ಯೆ
xyas	ಅಳಿಸಿಹಾಕುವಿಕೆ
hvif	ಕ್ರಿಯಾಪದAffix
xyis	ಕಳೆದನಿಷ್ಕ್ರಿಯಕೃದಂತ
tl6n	ಪ್ರಧಾನಸಂಸ್ಕರಣಘಟಕ
tfok	ಸತ್ಪಮೀವಿಬಕ್ತಿಯದಿಕ್ಕಿನಸಂದರ್ಭದಲ್ಲಿ
qwan	ಪದೇಪದೇಕೇಳಲಾಗುವಪ್ರಶ್ನೆಗಳು
